source_pdf,institute_code,institute_name,course_code,academic_year,cap_round,candidate_type,category,seat_type,university_type,cutoff_value,cutoff_unit,raw_row_text,page_number,allotment_type,row_hash
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GOPENH,GOPENH,HU,74.782248,percentile,GOPENH | 8120 | 74.782248 | Stage-I,1,Home University Seats Allotted to Home University Candidates,8d1333310d69ca6cb6860f9fc3a4a436da23ced104049e88536d70db68686715
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSCH,GSCH,HU,31.6629561,percentile,GSCH | 19682 | 31.6629561 | Stage-I,1,Home University Seats Allotted to Home University Candidates,94d07b1a1c99622b61be4be31f49f309a9fe400d8ec65000de72e23ac0f5878f
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GNTBH,GNTBH,HU,34.5198145,percentile,GNTBH | 18929 | 34.5198145 | Stage-I,1,Home University Seats Allotted to Home University Candidates,cb26ec06e14f1e7887d290677c23ed0f912c19ec3704f2b35fba1b54698b31c0
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GNTDH,GNTDH,HU,71.1549338,percentile,GNTDH | 9204 | 71.1549338 | Stage-I,1,Home University Seats Allotted to Home University Candidates,4f94e03206345c1c78a87a10b801e633e78d8f3ed96e2186c445ffdbc33f55c9
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,29.9046039,percentile,GOPENO | 19873 | 29.9046039 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,9761fc5186054ddbc68841a49760d780b8dee3effcd05fd40fc5601de3ccd734
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSTO,GSTO,HU,21.0059952,percentile,GSTO | 22077 | 21.0059952 | Stage-I,1,Other Than Home University Seats Allotted to Other Than Home University Candidates,26103b81abffcc37672cdd7dda7b879ef3aba7d84c3821e74b8a9791c739bfc6
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1005,"Sant Gadge Baba Amravati University,Amravati",0100524110,2025-26,4,Maharashtra,GSCO,GSCO,HU,7.9446476,percentile,GSCO | 24257 | 7.9446476 | Stage-I,1,Other Than Home University Seats Allotted to Home University Candidates,462c93bc6d26f88c7b6c31fd5228ff4c57e85882605ab9ca57a023a2128074c5
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENH,GOPENH,HU,76.9216256,percentile,GOPENH | 7837 | 76.9216256 | Stage-I,2,Home University Seats Allotted to Home University Candidates,26cd804c5369c6aa47530f508b09e15192d05a924c950887a0a1d3999fe292d7
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,13.5402134,percentile,GOPENO | 23181 | 13.5402134 | Stage-I,2,Other Than Home University Seats Allotted to Other Than Home University Candidates,1801d8a986fba6a4f65b705cd6a9beeafa9cc8ef976a8f7523a30913e124c5d9
088e3b17100f-PG_MCA_CAP4_Cutoff_All_Institutes_2025_26.pdf,1102,"Vidya Bharati Mahavidyalaya Department of Research and PG Studies in Science & Management, Amravati",0110224110,2025-26,4,Maharashtra,GOPENO,GOPENO,HU,63.1574978,percentile,GOPENO | 11811 | 63.1574978 | Stage-I,2,Other Than Home University Seats Allotted to Home University Candidates,4f3eea4855128846505372b47b0a787c47043cf2c5047a04a95eb823960957a8
